,Length,Width,Height,Weight
2177,3.94,1.745,1.5025,1087.5
2178,3.995,1.805,1.455,1280.0
2180,4.3025,1.76,1.4675,1335.0
2181,4.5775,1.76,1.48,1382.5
2182,4.4175,1.7675,1.545,1310.0
2183,4.7225,1.81,1.48,1450.0
2184,4.75,1.81,1.48,1432.5
2185,4.723,1.791,1.48,1517.5
2186,4.6375,1.76,1.48,1352.5
2187,4.6375,1.76,1.48,1355.0
2188,4.7075,1.76,1.525,1392.5
2189,4.505,1.71,1.425,1320.0
2190,4.505,1.71,1.425,1295.0
2191,4.545,1.71,1.4625,1333.5
2192,4.67,1.775,1.675,1562.5
2193,3.4175,1.615,1.465,815.0
2194,4.815,1.795,1.5,1520.0
2195,4.745,1.7775,1.415,1415.0
2197,4.3025,1.761,1.47,1530.0
2206,4.533,1.698,1.44,1235.0
2207,4.5255,1.695,1.41,1227.5
2208,4.538,1.698,1.44,1240.0
2209,4.3525,1.735,1.315,1180.0
2216,4.385,1.74,1.57,1430.0
2217,4.19,1.71,1.4575,1237.5
2218,4.3975,1.71,1.47,1205.0
2219,4.3975,1.71,1.52,1250.0
2221,4.205,1.69,1.385,1220.0
2222,4.34,1.69,1.4675,1242.5
2223,4.185,1.69,1.385,1142.5
2224,4.295,1.69,1.385,1082.5
2225,4.295,1.59,1.4375,1162.5
2226,4.0075,1.645,1.38,1167.5
2227,4.2685,1.6805,1.38,1105.0
2228,4.2935,1.683,1.49,1265.0
2235,2.985,1.68,1.5,887.5
2236,4.6075,1.8325,1.8775,1915.0
2237,4.477,1.7775,1.9125,2440.0
2240,4.5225,1.775,1.8875,1890.0
2241,4.95,1.97,1.865,2615.0
2242,3.895,1.695,1.245,1037.5
2246,4.53,1.695,1.66,1405.0
2247,4.75,1.79,1.79,1662.5
2248,4.7495,1.789,1.8275,1805.0
2249,4.455,1.735,1.48,1370.0
2250,4.45,1.725,1.49,1300.0
2251,4.315,1.695,1.475,1250.0
2252,4.5875,1.845,1.6675,1652.5
2253,4.355,1.835,1.7025,1522.5
2254,4.035,1.76,1.7025,1305.0
2255,3.9165,1.718,1.66,1285.0
2257,3.74,1.635,1.389,837.5
2258,3.714,1.6,1.385,840.0
2264,3.93,1.725,1.5325,1195.0
2265,4.415,1.78,1.625,1507.5
2266,3.99,1.695,1.595,1072.5
2267,3.9175,1.695,1.51,1055.0
2268,4.073,1.862,1.4775,1020.0
2269,3.7675,1.695,1.525,1020.0
2270,3.6275,1.63,1.5,910.0
2271,3.66,1.66,1.485,950.0
2272,3.87,1.69,1.6975,1050.0
2286,4.37,2.042,1.485,1236.0
2287,4.702,2.042,1.51,1230.0
2288,4.578,2.107,1.8205,1650.5
2289,4.06,1.96,1.433,1072.5
2290,4.06,1.96,1.433,1530.0
2292,4.212,1.976,1.597,1214.0
2297,5.131,2.204,1.93,1825.0
2299,3.698,1.966,1.4835,1491.5
2300,3.747,1.966,1.493,1500.5
2301,3.74,1.932,1.59,982.5
2302,3.5175,1.94,1.66,979.0
2303,4.498,2.126,1.439,1732.0
2304,4.5855,2.085,1.704,1828.0
2305,4.466,2.02,1.482,1429.0
2306,4.419,1.9135,1.51,1598.0
2308,4.466,2.02,1.482,1475.0
2309,4.249,2.0315,1.4635,1270.5
2310,4.289,2.018,1.41,1281.5
2311,4.29,2.003,1.405,1230.0
2312,4.382,2.033,1.467,1306.5
2313,4.476,2.021,1.411,1548.0
2314,4.11,1.978,1.4265,1198.5
2315,4.267,1.978,1.39,1392.5
2316,4.3175,1.978,1.425,1193.5
2317,4.288,1.967,1.425,1252.0
2318,4.267,1.967,1.375,1239.5
2319,4.0635,1.764,1.3975,1096.5
2320,4.1395,1.764,1.41,1117.5
2321,4.278,1.852,1.41,1214.0
2322,4.24,1.764,1.4,1192.0
2327,4.4935,1.8035,1.32,1327.5
2332,4.696,2.02,1.443,1683.5
2339,4.322,1.892,1.801,1235.0
2340,4.021,1.944,1.48,1127.0
2342,3.999,1.944,1.488,1152.0
2343,3.999,1.944,1.488,1223.0
2344,3.828,1.955,1.44,1047.5
2345,3.817,1.945,1.44,1209.0
2346,3.735,1.688,1.42,967.5
2348,4.4455,1.8815,1.721,1799.5
2351,4.836,2.084,1.498,1673.0
2352,4.914,2.084,1.52,1754.0
2355,4.836,2.084,1.498,1538.0
2356,4.294,1.994,1.615,1061.5
2357,4.047,1.949,1.624,1330.0
2362,2.9055,1.9095,1.8375,1907.5
2365,4.8425,1.9965,1.4555,1627.0
2366,3.814,1.9965,1.5,1666.5
2369,4.6435,1.917,1.466,1560.0
2371,3.921,1.905,1.364,1194.0
2372,3.922,1.812,1.34,1023.5
