,Length,Width,Height,Weight
324,4.6585,1.9915,1.369,1600.0
325,4.46,1.8965,1.333,1625.0
326,4.82,1.966,1.436,1765.0
327,4.6605,1.9155,1.4045,1672.5
328,4.4655,2.051,1.545,1532.5
329,4.6525,1.985,1.668,1760.0
330,4.567,1.92,1.674,1765.0
331,4.671,2.089,1.624,1795.0
332,4.889,2.184,1.7395,2162.5
333,4.854,1.9715,1.77,2152.5
334,4.667,2.026,1.7235,2097.5
335,4.9145,2.1695,1.6955,2165.0
336,4.8765,2.089,1.687,2187.5
338,4.0375,1.775,1.283,1362.5
339,4.025,1.795,1.2835,1450.0
340,4.2415,1.79,1.2875,1460.0
341,4.091,1.781,1.299,1280.0
342,4.091,1.781,1.268,1335.0
343,4.113,1.781,1.2945,1415.0
344,4.4,1.83,1.317,1690.0
345,4.6735,1.9395,1.4245,1735.0
346,4.674,1.9395,1.424,1807.5
347,4.767,1.935,1.374,1780.0
348,4.64,1.935,1.38,1877.5
349,4.967,1.997,1.466,1997.5
350,4.967,1.993,1.466,2100.0
351,5.259,1.902,1.491,2082.5
352,4.6735,1.9395,1.434,1730.0
353,4.6735,1.9395,1.433,1795.0
354,4.9675,2.126,1.667,1907.5
355,5.151,2.218,1.797,2655.0
356,4.732,2.138,1.665,2015.0
357,4.906,1.86,1.469,1967.5
358,4.894,1.894,1.372,2057.5
359,4.894,1.894,1.377,1870.0
360,4.64,2.045,1.373,1660.0
361,4.64,2.045,1.38,1890.0
362,4.905,1.86,1.469,1865.0
363,4.913,1.86,1.453,1965.0
364,4.647,1.901,1.67,1910.0
365,4.528,1.873,1.441,1749.5
366,4.674,1.752,1.118,1395.0
367,4.42,1.795,1.345,1540.0
368,4.698,2.038,1.507,1542.5
369,4.716,2.038,1.543,1575.0
370,4.86,1.842,1.464,1786.5
371,4.828,1.795,1.441,1715.0
372,5.1015,2.006,1.887,2579.5
373,4.991,1.897,1.428,1857.0
374,4.95,1.845,1.685,2023.5
375,4.985,1.843,1.464,1823.0
376,4.513,1.837,1.279,1654.0
377,3.315,1.63,0.97,517.5
378,4.039,1.753,1.517,1124.5
379,3.92,1.68,1.505,1052.5
380,4.639,1.7495,1.606,1915.0
381,4.837,1.917,1.36,1782.0
382,4.837,1.917,1.379,1905.0
383,4.908,1.883,1.3125,1619.0
384,4.908,1.883,1.3125,1651.0
385,4.654,2.0695,1.7235,1779.0
386,4.563,1.8695,1.2125,1538.0
387,4.558,1.8695,1.2125,1538.0
388,4.5565,1.7925,1.477,1407.5
390,4.597,1.788,1.477,1370.0
391,4.805,1.81,1.45,1515.0
392,3.88,1.99,1.495,1010.0
393,4.305,1.855,1.445,1187.5
394,4.58,1.855,1.455,1277.5
395,4.5,1.725,1.445,1207.5
396,3.495,1.495,1.5,785.0
397,3.495,1.495,1.485,796.0
398,4.652,1.836,1.633,1593.5
399,3.6175,1.597,1.5365,864.0
400,4.35,1.755,1.58,1296.5
402,4.498,2.126,1.439,1732.0
403,5.066,1.902,1.488,2117.0
404,5.015,1.88,1.4685,1907.5
405,5.015,1.88,1.475,1967.5
406,5.015,1.88,1.462,2032.5
407,4.069,1.766,1.296,1473.5
408,4.069,1.766,1.315,1512.5
409,4.52,1.797,1.497,1450.0
410,4.488,1.924,1.195,1532.0
411,5.1805,1.9535,1.783,2267.5
412,5.095,1.997,1.749,2117.5
413,5.07,1.95,1.7645,1965.0
414,4.39,1.733,1.421,1285.0
415,4.364,1.714,1.369,1152.5
416,4.288,1.726,1.601,1604.0
417,4.288,1.726,1.539,1610.0
418,4.85,1.843,1.497,1595.0
421,4.9485,1.997,1.749,2017.5
422,4.733,1.95,1.7645,1877.5
423,3.842,1.874,1.52,1007.5
425,3.4655,1.884,1.46,860.5
426,3.996,1.878,1.474,1033.0
427,4.1545,1.765,1.637,1160.5
428,4.355,2.032,1.525,1285.5
429,4.1695,1.979,1.48,1094.0
430,4.5,2.099,1.67,1587.0
431,4.355,2.032,1.525,1541.0
432,4.959,2.204,1.89,1953.0
433,4.602,2.117,1.638,1428.5
434,4.9575,2.204,1.8975,1756.0
437,4.1225,1.8395,1.82,1218.0
438,4.382,1.81,1.857,1535.5
441,3.4375,1.63,1.465,840.0
442,3.666,1.659,1.461,1008.0
443,3.666,1.659,1.461,1039.0
444,3.666,1.659,1.461,1055.0
445,3.941,1.861,1.531,1126.5
446,3.6475,1.6535,1.493,944.0
447,4.078,1.89,1.6275,1360.0
448,3.934,1.7,1.561,1170.5
449,3.85,1.687,1.519,1066.0
450,4.329,1.789,1.49,1350.5
451,4.2675,1.771,1.458,1321.5
452,4.281,1.769,1.458,1280.0
453,4.157,1.946,1.48,1025.0
454,4.433,2.117,1.6175,1343.5
455,4.47,2.1,1.68,1569.5
456,4.438,2.117,1.61,1398.5
457,4.779,1.9745,1.457,1618.5
458,4.829,2.096,1.477,1716.0
459,4.745,1.78,1.4755,1492.5
460,4.839,1.78,1.511,1528.0
461,4.618,1.77,1.476,1405.0
462,4.756,1.77,1.516,1462.5
463,4.908,1.86,1.464,1844.5
464,4.7265,2.194,1.752,1715.0
465,4.645,1.805,1.67,1757.5
468,3.475,1.475,1.6,1120.0
469,4.959,2.204,1.8975,1622.5
470,4.97,2.194,1.942,1889.0
471,3.948,1.715,1.4705,1087.5
472,3.955,1.994,1.463,1180.0
474,4.275,1.931,1.523,1450.0
475,4.53,1.9995,1.539,1721.5
476,4.5995,2.117,1.647,1377.0
477,4.59,2.1,1.68,1610.5
478,3.959,2.019,1.721,1137.5
479,3.7275,1.6075,1.375,870.0
480,4.454,1.818,1.7155,1552.5
483,4.484,1.8645,1.4,1333.0
484,4.686,1.7205,1.41,1384.5
485,4.7035,1.7985,1.385,1524.5
486,4.831,1.7985,1.467,1579.5
487,4.188,1.84,1.405,1181.5
488,4.369,1.975,1.42,1229.0
489,4.188,1.975,1.405,1176.5
490,4.167,1.7025,1.403,1097.5
491,4.354,1.8365,1.42,1410.0
492,4.167,1.8365,1.3845,1110.0
493,4.273,1.7505,1.6335,1283.0
494,4.077,1.858,1.4,1018.5
495,4.26,1.71,1.45,1085.0
499,4.8065,1.9875,1.4365,1590.0
502,4.447,1.8855,1.246,1463.0
503,4.435,1.844,1.246,1488.5
504,4.493,1.877,1.241,1564.0
505,4.385,1.841,1.6,1583.0
506,4.45,1.839,1.5155,1465.5
507,4.398,1.799,1.467,1596.0
508,4.657,1.799,1.463,1642.0
509,4.341,2.052,1.627,1292.0
510,4.4965,1.994,1.52,1085.5
511,4.528,1.994,1.559,1160.0
512,4.088,2.007,1.499,1072.0
513,4.099,2.007,1.535,1115.5
514,4.315,2.0,1.625,1241.5
517,4.0635,1.994,1.5185,1031.5
518,4.085,1.994,1.577,1060.0
519,4.615,1.718,1.388,1149.0
520,3.88,1.67,1.495,1005.0
521,4.33,1.841,1.84,1810.0
522,4.295,1.725,1.445,1177.5
523,4.074,1.678,1.432,1041.0
524,4.237,1.678,1.432,1074.0
525,4.671,1.799,1.437,1330.5
526,3.496,1.495,1.485,825.0
527,4.656,1.864,1.735,1870.0
528,4.256,1.662,1.393,1072.5
529,4.482,1.662,1.393,1075.5
530,4.5,1.725,1.445,1207.5
531,4.481,1.7,1.4275,1188.0
532,4.55,1.7,1.43,1300.0
533,4.35,1.755,1.605,1371.5
535,3.41,1.475,1.5,732.5
540,3.4175,1.475,1.245,840.0
541,3.3525,1.435,1.4425,690.0
543,3.9365,1.677,1.8875,1640.0
545,4.075,1.64,1.59,1005.0
546,3.8,1.69,1.635,1042.5
548,3.31,1.395,1.695,750.0
549,3.615,1.665,1.55,935.0
550,3.82,1.595,1.44,855.0
551,3.734,1.6045,1.72,1257.5
553,4.065,1.977,1.69,1180.0
554,3.845,1.555,1.695,1052.5
555,3.765,1.62,1.55,920.0
556,5.215,2.108,1.448,1665.0
557,5.0635,1.9365,1.3235,1852.5
559,5.216,2.104,1.463,1665.0
562,4.68,2.0,1.715,1510.0
563,4.85,1.843,1.497,1595.0
564,4.415,1.8,1.535,1510.0
565,4.888,1.878,1.718,1925.5
566,4.584,1.856,1.773,1982.5
569,4.459,1.911,1.21,1546.0
570,4.118,1.8895,1.5285,1187.5
571,4.118,1.988,1.534,1523.0
572,4.5715,1.9965,1.62,1621.5
573,4.573,2.098,1.62,1792.5
574,3.948,1.715,1.483,1074.5
575,3.948,1.715,1.483,1116.0
576,4.2795,1.931,1.51,1337.5
577,4.284,1.81,1.516,1337.5
578,4.53,2.128,1.539,1544.0
579,5.9875,1.9005,1.6435,2100.0
580,5.9875,1.9005,1.4885,2100.0
581,4.215,2.13,1.17,1051.0
582,3.7,1.66,1.25,970.0
583,4.568,1.952,1.213,1475.0
584,4.657,1.971,1.276,1525.0
585,4.922,1.98,1.383,1892.5
591,4.477,1.922,1.2065,1285.0
592,4.477,1.922,1.235,1450.0
595,4.7465,1.92,1.3,1730.0
596,4.549,1.944,1.208,1395.0
598,4.568,1.952,1.211,1525.0
600,4.55,1.935,1.277,1690.0
601,4.55,1.935,1.277,1790.0
602,4.55,1.935,1.277,1730.0
603,4.665,1.962,1.336,1580.0
604,4.902,1.957,1.344,1840.0
605,4.563,1.902,1.308,1705.0
606,4.57,1.91,1.322,1625.0
607,4.702,2.035,1.147,1365.0
608,4.618,1.942,1.273,1630.0
612,4.512,1.923,1.2065,1450.0
613,4.512,1.923,1.234,1520.0
616,4.907,1.953,1.379,1880.0
620,3.5585,1.76,1.488,932.5
621,3.5585,1.76,1.488,942.5
622,3.632,1.7915,1.527,1365.0
623,3.632,1.9,1.527,1405.0
624,4.2115,2.027,1.6685,1317.5
625,4.3255,2.018,1.679,1345.0
626,4.2605,2.025,1.6015,1385.0
627,3.679,1.882,1.604,1052.5
628,3.6955,1.882,1.631,1107.5
629,3.964,1.716,1.745,1252.5
630,4.368,1.667,1.495,1367.5
631,4.571,1.667,1.514,1377.5
632,4.532,1.792,1.497,1150.0
633,4.386,1.542,1.556,1335.0
634,4.054,1.74,1.233,1060.0
637,4.375,2.018,1.667,1360.0
638,4.352,2.018,1.667,1352.5
639,3.9005,1.64,1.26,1060.0
640,4.187,1.741,1.4105,1117.5
641,4.336,1.792,1.494,1282.5
642,4.106,1.748,1.414,1100.0
643,3.226,1.4925,1.435,722.5
644,4.2205,1.8735,1.34,1290.0
645,4.756,1.775,1.597,1540.0
647,4.573,1.832,1.985,1470.0
648,4.206,1.718,1.9365,1325.0
649,3.9635,1.716,1.762,1172.5
650,4.03,1.687,1.49,1117.5
651,3.93,1.678,1.66,1177.5
652,4.44,1.7405,1.465,1215.0
653,4.4885,1.7405,1.465,1270.0
654,4.042,1.8705,1.695,1372.5
655,3.538,1.5835,1.54,887.5
656,3.5775,1.608,1.6375,1035.0
657,3.578,1.606,1.522,975.0
659,4.065,1.687,1.49,1085.0
660,3.8525,1.66,1.48,967.5
661,3.8175,1.66,1.48,957.5
662,3.765,1.6225,1.453,955.0
663,3.77,1.6225,1.448,1042.5
664,4.065,1.687,1.49,1102.5
667,4.97,1.9405,1.937,1875.5
668,4.97,1.9405,1.937,1837.5
669,4.115,1.755,1.6125,1245.0
670,3.328,1.508,1.426,747.5
671,4.2165,1.77,1.5,1205.0
672,4.516,1.756,1.57,1352.5
678,4.719,1.863,1.752,1714.0
679,4.452,1.83,1.71,1590.0
682,4.126,2.057,1.643,1253.5
684,4.209,1.96,1.4725,1242.0
685,4.068,1.941,1.469,1271.0
690,4.848,2.137,1.747,1788.5
691,4.818,2.137,1.8425,1615.0
692,4.5365,2.0815,1.695,1605.5
693,4.6215,2.178,1.704,1558.0
694,4.871,2.121,1.482,1558.5
695,4.871,2.121,1.482,1630.0
696,4.869,2.121,1.4915,1576.0
697,4.784,2.08,1.381,1704.5
698,4.784,2.08,1.394,1766.5
700,4.206,1.93,1.5345,1281.5
701,4.796,2.137,1.655,1652.0
702,4.418,2.137,1.852,1541.5
704,4.157,2.112,1.77,1347.0
706,4.077,2.067,1.604,1255.0
708,4.3795,2.067,1.618,1424.5
709,4.699,2.032,1.326,1334.5
710,4.165,1.841,1.346,1321.0
711,4.3685,1.7755,1.359,1144.0
712,4.2555,1.7775,1.346,1127.5
713,4.127,1.7755,1.346,1185.0
719,4.813,2.057,1.801,2080.0
720,4.04,1.941,1.476,1185.0
721,3.966,1.8365,1.481,1074.0
722,3.9785,1.978,1.495,1088.0
723,3.92,1.7585,1.4425,1110.0
724,3.9215,1.9085,1.468,1151.0
725,3.828,1.7135,1.32,984.5
726,3.828,1.793,1.32,993.5
727,3.7715,1.6965,1.376,897.5
729,4.374,2.01,1.4725,1444.5
730,4.556,2.01,1.482,1380.5
731,4.462,2.01,1.484,1446.5
732,4.3395,2.005,1.4985,1331.5
733,4.47,2.005,1.501,1375.5
734,4.3495,2.005,1.4985,1377.0
735,4.402,2.02,1.484,1467.0
736,4.509,1.991,1.448,1551.0
737,4.4845,2.005,1.497,1370.0
738,4.163,1.998,1.43,1188.5
739,4.372,1.998,1.4295,1204.5
740,4.446,1.998,1.447,1234.0
742,4.3525,1.924,1.5915,1448.5
743,4.0165,1.956,1.523,1167.0
744,4.8335,2.1455,1.7245,1819.0
745,4.641,2.142,1.731,1696.5
746,4.607,2.1375,1.73,1756.5
752,4.5195,2.067,1.663,1526.0
753,3.929,1.911,1.521,1013.0
755,3.6215,1.894,1.507,941.0
756,3.635,1.827,1.3995,903.0
759,4.3645,1.9855,1.8275,1747.5
760,4.789,2.085,1.5,1520.0
761,4.844,2.085,1.512,1535.0
762,4.811,2.078,1.5,1513.5
763,4.731,1.9445,1.429,1471.0
764,4.6435,1.9415,1.4155,1461.5
765,4.804,1.9445,1.461,1524.5
766,4.513,1.8385,1.372,1557.0
767,4.513,1.8385,1.372,1292.5
768,4.5705,1.8385,1.391,1356.0
771,4.585,1.78,1.3125,1247.5
772,3.984,1.837,1.3295,1036.5
773,4.825,1.875,1.363,1572.0
774,4.826,1.875,1.442,1621.5
778,4.7845,2.154,1.635,1753.5
779,3.65,1.696,1.332,1137.5
784,4.5375,2.076,1.434,1304.5
785,4.648,2.075,1.416,1303.0
786,4.6015,2.147,1.684,1586.5
787,3.894,1.752,1.512,1516.5
788,4.32,2.019,1.605,1334.5
789,4.044,1.694,1.526,1302.0
790,4.09,1.725,1.556,1325.0
791,4.487,2.217,1.204,1776.0
792,4.7255,1.975,1.44,1600.5
793,4.745,1.975,1.455,1662.5
794,4.667,1.889,1.445,1442.0
795,4.75,2.018,1.4825,1546.0
796,4.595,1.8565,1.505,1436.5
797,4.595,1.8565,1.505,1393.0
799,4.64,1.7325,1.405,1342.0
800,4.77,1.78,1.425,1375.0
801,4.675,1.78,1.39,1328.0
808,4.5625,2.065,1.48,1311.0
809,4.335,2.065,1.47,1277.0
810,4.39,2.065,1.466,1382.0
811,4.2605,2.046,1.46,1324.0
812,4.545,2.012,1.43,1297.0
813,4.273,2.046,1.445,1312.0
814,4.2125,1.8415,1.435,1206.0
815,4.14,1.8375,1.43,1204.0
816,4.46,1.8265,1.4325,1191.5
817,4.438,1.921,1.399,1174.5
818,3.648,1.695,1.52,1112.0
819,4.425,1.695,1.465,1230.5
820,4.46,1.695,1.375,1235.0
821,4.46,1.695,1.39,1178.0
822,4.2495,1.8505,1.345,1002.5
824,4.412,1.8,1.375,1057.5
830,2.766,1.6955,1.395,1077.5
832,4.5875,2.095,1.685,1584.0
833,4.552,2.091,1.675,1653.5
834,4.5725,1.9,1.6925,1558.0
836,4.005,1.695,1.255,1085.0
838,4.0775,2.013,1.395,1178.5
839,4.285,2.113,1.61,1490.5
840,4.01,1.845,1.685,1241.5
841,4.3955,2.0295,1.43,1222.0
842,3.945,1.695,1.355,850.0
844,4.4,1.705,1.335,1140.0
845,4.023,1.98,1.55,1095.0
846,3.9,2.029,1.525,1104.5
847,3.8425,1.878,1.525,1039.5
848,4.957,2.12,1.45,1871.0
849,4.9725,1.815,1.42,1670.0
850,4.885,1.81,1.37,1600.0
853,3.784,1.889,1.5265,962.5
854,4.425,1.81,1.17,1420.0
855,4.425,1.81,1.17,1450.0
856,4.545,1.75,1.315,1293.0
859,4.135,1.75,1.2775,1265.5
860,4.742,1.771,1.64,1546.5
861,4.5725,1.924,1.59,1408.0
862,4.995,2.063,1.993,2850.0
863,4.782,1.989,1.872,2212.5
864,3.6725,1.68,1.4815,972.5
865,4.04,1.775,1.45,1102.5
866,4.3375,1.917,1.451,1311.5
867,4.585,2.039,1.465,1305.5
868,4.3975,1.917,1.4385,1272.0
869,4.455,1.795,1.419,1429.0
870,4.7725,1.954,1.47,1545.0
871,4.7425,1.954,1.47,1513.5
872,4.47,2.045,1.45,1428.0
873,4.47,2.045,1.4625,1473.5
874,4.19,2.07,1.5625,1307.5
875,4.18,2.07,1.57,1610.0
877,4.475,1.9575,1.6475,1537.0
878,4.5,1.865,1.652,1494.5
879,4.045,1.695,1.47,1257.0
880,4.2075,1.675,1.4,1132.0
881,4.26,1.68,1.395,1045.0
882,4.103,1.62,1.394,972.5
883,4.103,1.62,1.394,967.5
885,3.565,1.525,1.57,915.0
886,3.495,1.495,1.58,852.5
887,3.495,1.495,1.615,816.5
888,4.395,1.76,1.33,1345.0
889,4.3425,1.73,1.303,1239.0
890,4.495,1.72,1.425,1267.5
891,4.495,1.72,1.425,1209.5
892,4.99,1.89,1.48,1890.0
893,3.8175,1.7225,1.4925,1091.5
894,4.895,1.865,1.49,1713.0
895,3.665,1.8015,1.5,947.0
896,3.565,1.595,1.54,993.0
897,4.04,1.805,1.4615,1130.0
898,4.035,1.88,1.474,1065.0
899,4.045,1.73,1.449,1130.0
900,3.9675,1.71,1.49,1152.5
901,4.3,1.78,1.4675,1380.5
902,4.485,1.78,1.4975,1426.5
903,4.3,1.78,1.47,1387.0
905,4.2625,1.775,1.48,1376.0
906,5.1375,1.92,1.925,2244.5
907,4.11,1.765,1.6,1280.0
909,4.435,1.701,1.425,1259.5
910,4.46,1.702,1.46,1329.0
912,4.0425,1.74,1.635,1320.0
917,4.695,1.88,1.6775,1949.5
918,4.6675,1.89,1.76,1908.5
919,4.5,2.01,1.7025,1730.5
921,4.8,1.832,1.475,1576.5
922,4.747,1.82,1.422,1580.0
923,4.71,1.818,1.41,1414.5
924,4.6865,1.761,1.405,1385.0
927,4.7,1.86,1.84,2260.0
928,4.695,1.84,1.76,1812.5
929,4.325,1.83,1.68,1660.5
930,4.235,1.7975,1.399,1274.5
931,4.865,1.825,1.42,1633.0
932,4.425,2.083,1.485,1525.5
933,4.8,1.9525,1.44,1765.5
934,4.425,2.083,1.5225,1580.0
935,4.64,2.043,1.575,1930.5
936,4.865,2.134,1.68,1910.0
937,4.6575,2.007,1.3935,1712.5
938,4.66,2.007,1.3955,1893.0
939,4.7775,1.997,1.4585,1500.5
940,4.9625,2.0785,1.4965,1817.5
941,4.69,2.052,1.395,1806.0
942,4.4,2.134,1.225,1100.0
944,4.4625,1.79,1.8375,1983.0
946,4.403,2.088,1.6485,1899.0
947,4.7465,2.175,1.661,1889.5
948,4.4945,1.9825,1.298,1651.5
949,4.476,2.042,1.311,1631.5
951,4.6925,2.075,1.423,1590.0
952,4.958,2.0895,1.4565,1699.0
953,4.818,2.083,1.456,1673.0
954,4.47,2.042,1.314,1690.0
955,4.47,2.042,1.311,1705.0
956,4.883,2.05,1.435,1725.0
957,4.961,2.065,1.46,1812.5
958,4.961,2.053,1.46,1883.0
959,4.9635,2.065,1.47,1977.0
960,4.966,2.077,1.48,1852.0
961,5.1885,2.1075,1.454,1835.0
962,5.126,2.1075,1.454,1875.0
963,5.1525,2.108,1.448,1602.0
964,5.09,2.108,1.448,1659.0
965,5.076,1.9365,1.32,1842.5
968,4.848,1.843,1.241,1705.0
969,4.848,1.843,1.241,1830.0
971,4.7925,2.049,1.322,1674.0
972,4.7925,2.049,1.329,1717.5
973,4.7925,2.049,1.3255,1732.5
974,4.799,2.028,1.317,1753.0
975,4.804,2.028,1.329,1800.0
976,4.768,2.015,1.296,1675.0
977,4.768,2.015,1.301,1727.5
978,4.672,1.896,1.392,1522.5
980,4.394,2.033,1.631,1620.0
981,4.8485,1.9485,1.7755,2401.5
982,4.236,1.805,1.6925,1545.0
983,4.5525,1.8835,1.861,1993.0
984,4.6245,1.8815,1.6955,1857.0
985,4.493,1.839,1.797,1982.5
986,4.496,1.819,1.8415,1998.5
987,4.24,1.8675,1.7,1545.0
988,4.787,2.08,1.826,2382.5
989,4.4565,1.812,1.663,1514.5
990,4.405,1.81,1.63,1575.0
991,4.846,1.954,1.749,2438.0
992,4.7675,1.87,1.7475,2277.5
993,4.785,1.87,1.71,2220.0
994,4.605,2.239,1.773,2017.5
995,4.5,2.081,1.752,1861.0
997,4.487,1.875,1.84,1997.0
998,3.883,1.74,1.782,1662.5
999,3.8825,1.708,1.7575,1595.0
1001,4.3175,1.8,1.4445,1365.0
1002,4.6025,1.8,1.465,1474.0
1003,4.375,1.805,1.56,1739.5
1004,4.355,1.82,1.535,1542.0
1005,3.6325,1.61,1.4925,980.0
1006,3.6325,1.625,1.5,960.0
1007,4.605,1.8,1.422,1421.5
1008,4.0675,1.993,1.4525,1181.5
1009,4.81,1.9,1.695,2099.0
1010,4.22,1.825,1.605,1757.0
1011,4.4875,1.855,1.635,1600.5
1012,4.83,1.87,1.4,1803.5
1013,4.14,1.76,1.495,1215.0
1014,4.395,1.826,1.495,1470.5
1016,4.545,1.81,1.65,1565.5
1017,4.466,1.7285,1.606,1375.0
1018,4.31,1.78,1.4675,1322.5
1019,4.505,1.78,1.485,1360.0
1020,4.31,1.78,1.47,1374.5
1021,4.2475,1.79,1.48,1360.5
1022,4.48,1.79,1.525,1371.5
1023,4.34,1.735,1.47,1292.0
1024,4.48,1.735,1.47,1312.0
1025,4.488,1.75,1.535,1239.0
1026,4.7675,1.805,1.48,1515.0
1027,4.725,1.8175,1.41,1450.0
1028,4.51,1.72,1.415,1184.5
1029,4.3935,1.5505,1.4025,1128.5
1030,4.3065,1.692,1.39,1054.0
1031,4.855,1.86,1.465,1685.0
1033,4.845,1.83,1.455,1577.0
1034,3.595,1.595,1.48,937.5
1035,3.5375,1.7275,1.48,967.5
1036,3.595,1.704,1.46,810.0
1037,4.31,1.9075,1.4275,1315.0
1038,4.31,1.78,1.43,1359.0
1039,4.25,1.79,1.45,1348.5
1040,4.0475,1.72,1.455,1174.0
1041,3.99,1.695,1.47,1150.0
1042,4.2275,1.6775,1.43,1117.5
1043,4.81,1.985,1.76,2094.5
1044,4.9075,1.9,1.735,2033.0
1045,4.475,1.711,1.413,1218.5
1046,4.525,1.72,1.415,1211.5
1047,4.795,1.895,1.69,1967.0
1048,4.685,1.885,1.74,1755.0
1049,4.5785,1.8845,1.725,2032.5
1050,4.14,1.8155,1.5995,1350.0
1051,4.1125,1.785,1.61,1302.5
1052,4.14,1.8,1.593,1572.5
1053,4.44,1.855,1.6325,1528.0
1055,4.29,1.747,1.65,1503.5
1056,4.0715,1.765,1.6,1267.0
1057,3.813,1.9,1.205,805.0
1064,4.8615,2.064,1.136,1600.0
1065,4.8615,2.064,1.136,1550.0
1066,4.4895,2.236,1.1725,1524.5
1067,4.5345,2.236,1.1925,1380.5
1068,5.112,2.181,1.638,2200.0
1069,4.45,2.12,1.11,1600.5
1070,4.343,1.9,1.1745,1380.0
1071,4.4825,2.236,1.165,1402.0
1072,4.595,2.0515,1.135,1677.5
1080,5.018,2.105,1.967,2367.0
1081,4.583,2.105,1.9715,2158.0
1082,4.963,2.22,1.867,2224.0
1083,4.598,2.173,1.7255,1931.0
1084,5.0995,2.22,1.848,2416.5
1085,4.371,2.1,1.649,1897.0
1086,4.7405,2.1965,1.7635,2325.0
1087,4.8015,2.146,1.675,2017.5
1088,4.717,2.1865,1.818,2520.5
1089,4.705,2.19,1.89,2175.0
1090,4.509,1.991,1.921,2077.5
1091,4.5,2.1875,1.74,1832.5
1092,4.441,2.071,1.702,1553.5
1093,4.441,2.071,1.7065,1553.5
1094,4.43,2.071,1.7125,1553.5
1095,4.4145,2.0695,1.818,1499.5
1096,4.4145,2.0695,1.808,1499.5
1097,4.4145,2.0695,1.808,1499.5
1098,4.961,2.2035,1.8825,2631.0
1099,4.443,2.228,1.817,2160.0
1101,4.3675,2.055,1.635,1719.5
1102,4.37,2.0325,1.609,2005.5
1103,4.3625,2.0525,1.605,1710.0
1104,4.871,2.22,1.722,2330.0
1105,4.7905,2.17,1.798,2565.0
1106,4.857,2.036,1.88,2230.0
1107,4.3375,1.8925,1.4475,1465.0
1108,4.975,1.865,1.445,1680.0
1109,4.6725,1.9185,1.43,1587.5
1110,4.77,2.044,1.345,1957.5
1111,4.77,2.168,1.35,2035.0
1112,5.235,2.16,1.455,2277.5
1113,4.635,2.13,1.645,1750.0
1114,4.7,2.059,1.3925,1720.0
1115,4.7075,2.06,1.39,1740.0
1116,4.627,2.119,1.5655,1703.0
1117,5.0,2.18,1.7,2205.0
1118,4.495,2.08,1.54,1570.0
1119,4.495,2.078,1.545,1785.0
1120,4.865,1.97,1.455,1732.5
1121,4.915,2.085,1.44,1790.0
1122,4.8375,1.91,1.43,1742.5
1123,4.8775,1.7975,1.4225,1717.5
1124,4.58,1.895,1.4325,1557.5
1125,4.66,1.815,1.415,1700.0
1126,4.635,1.8,1.415,1730.0
1127,4.4,1.7225,1.4125,1470.0
1128,4.505,1.725,1.43,1485.0
1129,5.12,2.0075,1.4675,2155.0
1130,5.015,1.83,1.48,1875.0
1131,4.9915,1.8165,1.435,1815.0
1132,4.77,1.885,1.685,2115.0
1133,4.75,1.845,1.685,1917.5
1134,4.58,1.815,1.66,1820.0
1135,4.525,1.825,1.37,1765.0
1138,3.832,1.7845,1.13,854.0
1139,4.372,2.0095,1.2345,1362.5
1140,3.9345,1.83,1.1495,1025.5
1143,3.73,1.702,1.175,730.0
1145,4.267,1.8685,1.15,1304.5
1146,3.9,1.782,1.125,995.0
1147,4.361,2.047,1.229,1439.5
1149,3.78,1.72,1.175,780.0
1150,4.58,2.036,1.834,1815.0
1151,4.58,2.036,1.834,1760.0
1152,3.278,1.575,1.57,942.0
1153,4.263,1.828,1.016,1117.0
1154,4.263,1.828,1.016,1117.0
1158,4.263,1.016,1.016,1078.0
1159,4.263,1.422,1.016,1078.0
1161,3.55,1.71,1.1,550.0
1162,3.88,1.7,1.21,760.0
1163,3.9,1.72,1.22,820.0
1164,3.65,1.65,1.2,700.0
1165,4.971,2.114,1.461,1842.5
1166,5.0115,2.158,1.6885,2157.0
1167,5.262,2.114,1.481,1892.5
1169,4.51,1.822,1.305,1605.0
1170,4.223,1.775,1.3,1385.5
1172,4.5165,1.822,1.305,1630.0
1173,4.907,2.056,1.348,1976.5
1174,4.413,1.822,1.3,1705.0
1175,4.907,2.05,1.348,1825.0
1176,5.0745,1.895,1.438,1870.0
1177,4.55,1.81,1.38,1543.0
1178,4.1,1.85,1.3,1417.0
1179,4.303,1.822,1.305,1720.0
1180,4.043,1.714,1.31,1357.0
1181,5.728,1.98,1.572,2735.0
1182,6.165,1.98,1.573,2855.0
1183,4.065,1.839,1.505,1058.0
1184,4.46,2.028,1.435,1413.5
1185,4.56,2.028,1.44,1407.5
1186,4.87,1.84,1.45,1575.0
1187,4.805,1.84,1.475,1587.5
1188,4.275,1.765,1.535,1210.0
1189,4.395,2.04,1.54,1431.0
1190,4.55,1.84,1.6775,1615.5
1191,4.395,2.035,1.555,1645.0
1192,3.915,1.735,1.2275,1061.5
1193,3.915,1.735,1.233,1119.5
1194,3.828,1.793,1.32,1071.0
1197,3.89,1.695,1.475,1030.0
1198,3.925,1.68,1.5375,1088.5
1199,4.525,2.053,1.4575,1340.5
1200,4.585,2.053,1.45,1327.0
1201,4.49,1.755,1.47,1430.0
1202,4.51,1.77,1.46,1460.0
1203,4.58,2.002,1.47,1409.0
